alpine bittercress,Leymus arenarius (L.) Hochst. ssp. mollis (Trin.) Tzvelev
alpine dustymaiden,Vallisneria asiatica Michx.
 ,Vallisneria neotropicalis Vict.
 ,Vallisneria spiralis auct. non L.
 ,Vallisneria spiralis L. var. asiatica (Michx.) Torr.
 ,Glycyrrhiza glutinosa Nutt.
 ,Glycyrrhiza lepidota Pursh var. glutinosa (Nutt.) S. Watson
alpine false candytuft,Phryma leptostachya L. var. confertifolia Fernald
alpine false candytuft,"Nelumbium luteum Willd., orth. var."
alpine fescue,"Nelumbo pentapetala (Walter) Fernald, nom. utique rej."
alpine gentian,"Nymphaea pentapetala Walter, nom. utique rej."
alpine gentian,Glyceria maxima (Hartm.) Holmb. ssp. grandis (S. Watson) Hultén
alpine gooseberry,Glyceria maxima (Hartm.) Holmb. var. americana (Torr.) B. Boivin
 ,Panicularia grandis (S. Watson) Nash
 ,Phytolacca decandra L.
alpine groundsel,Cryptogramma crispa (L.) R. Br. ex Hook. ssp. acrostichoides (R. Br.) Hultén
 ,Bunias edentula Bigelow
 ,Cakile americana Nutt.
alpine jewelflower,Cakile edentula (Bigelow) Hook. ssp. californica (A. Heller) Hultén
alpine ladyfern,Cakile edentula (Bigelow) Hook. var. californica (A. Heller) Fernald
 ,Cymopterus littoralis auct. non A. Gray
 ,Glehnia leiocarpa Mathias
 ,Glehnia littoralis F. Schmidt ex Miq. var. leiocarpa (Mathias) B. Boivin
 ,Lysichiton camtschatcensis auct. non (L.) Schott
 ,Beckmannia eruciformis auct. non (L.) Host
 ,Beckmannia eruciformis (L.) Host ssp. baicalensis (Kusnez.) Hultén
alpine lake false dandelion,Beckmannia eruciformis (L.) Host var. uniflora Scribn. ex A. Gray
 ,Beckmannia syzigachne (Steud.) Fernald ssp. baicalensis (Kusnez.) Koyama & Kawano
 ,Beckmannia syzigachne (Steud.) Fernald var. uniflora (Scribn. ex A. Gray) B. Boivin
 ,Trixis californica Kellogg var. californica
alpine laurel,Vicia americana Muhl. ex Willd. ssp. oregana (Nutt.) Abrams
 ,Vicia americana Muhl. ex Willd. var. americana
 ,Vicia americana Muhl. ex Willd. var. oregana (Nutt.) A. Nelson
 ,Vicia americana Muhl. ex Willd. var. truncata (Nutt.) W.H. Brewer
 ,Vicia americana Muhl. ex Willd. var. villosa (Kellogg) F.J. Herm.
 ,Vicia californica Greene
 ,Vicia californica Greene var. madrensis Jeps.
alpine leafybract aster,Vicia oregana Nutt.
alpine leafybract aster,Vicia sparsifolia Nutt. ex Torr. & A. Gray var. truncata (Nutt.) S. Watson
 ,Lycopus americanus Muhl. ex W.P.C. Barton var. longii Benner
 ,Lycopus americanus Muhl. ex W.P.C. Barton var. scabrifolius Fernald
 ,Lycopus sinuatus Elliott
alpine lewisia,Alisma plantago-aquatica L. ssp. subcordatum (Raf.) Hultén
 ,Alisma plantago-aquatica L. var. parviflorum (Pursh) Torr.
 ,Subularia aquatica L. ssp. americana G. Mulligan & Calder
 ,"Subularia aquatica L. ssp. mexicana G.A. Mulligan & Calder, ined.?"
 ,Castalia lekophylla Small
 ,Castalia minor (Sims) Nyar
alpine meadow-rue,Castalia odorata (Aiton) Alph. Wood
 ,"Castalia reniformis (Walter) Nash, nom. utique rej."
alpine mountainsorrel,Nymphaea minor (Sims) DC.
 ,Nymphaea odorata Aiton var. gigantea Tricker
alpine nerve sedge,Nymphaea odorata Aiton var. godfreyi Ward
alpine pennycress,Nymphaea odorata Aiton var. minor Sims
 ,Nymphaea odorata Aiton var. rosea Pursh
 ,Nymphaea odorata Aiton var. stenopetala Fernald
 ,Nymphaea odorata Aiton var. villosa Caspary
 ,"Nymphaea reniformis Walter, nom. utique rej."
 ,Carex lanuginosa Michx. var. americana (Fernald) B. Boivin
 ,Carex lasiocarpa Ehrh. ssp. americana (Fernald) Love & Bernard
 ,Barbarea americana Rydb.
 ,Barbarea orthoceras Ledeb. var. dolichocarpa Fernald
 ,Myriophyllum elatinoides Gaudich.
 ,Beckwithia andersonii (A. Gray) Jeps.
 ,Crepis runcinata (James) Torr. & A. Gray var. andersonii (A. Gray) Cronquist
 ,Psilochenia runcinata (James) Á. Löve & D. Löve ssp. andersonii (A. Gray) W.A. Weber
 ,Delphinium andersonii A. Gray ssp. cognatum (Greene) Ewan
 ,Delphinium andersonii A. Gray var. cognatum (Greene) R.J. Davis
 ,Delphinium cognatum Greene
 ,Delphinium xylorrhizum Rydb.
alpine pondweed,Lupinus rinae Eastw.
 ,Trifolium grayi Loja.
 ,Ozomelis diversifolia (Greene) Rydb.
 ,Agoseris heterophylla (Nutt.) Greene ssp. californica (Nutt.) Piper
alpine sheep sorrel,Agoseris heterophylla (Nutt.) Greene ssp. normalis Piper
alpine sheep sorrel,Agoseris heterophylla (Nutt.) Greene var. cryptopleura Jeps.
 ,Agoseris heterophylla (Nutt.) Greene var. kymapleura Greene
 ,Macrorhynchus heterophyllus Nutt.
alpine sheep sorrel,Myagrum rugosum L.
 ,Rapistrum rugosum (L.) All. ssp. linnaeanum Rouy & Foucaud
alpine shootingstar,Rapistrum rugosum (L.) All. ssp. orientale (L.) Arcang.
 ,Rapistrum rugosum (L.) All. ssp. rugosum
